time;DBD;HPG;VNM;ACB;;;;;;;;;;;;;
04/08/2023;0,011831276;0,018682399;0,005561735;0,040097205;;;;;;;;;;;;;
07/08/2023;0;0,007239382;0,025916561;-0,026285047;;;;;;;;;;;;;
08/08/2023;-0,013726487;-0,012458074;-0,005237215;-0,014997001;;;;;;;;;;;;;
09/08/2023;0,012113402;0,021834061;-0,018891298;-0,008526188;;;;;;;;;;;;;
10/08/2023;-0,004074357;-0,016144349;0;-0,012899263;;;;;;;;;;;;;
11/08/2023;0;0,012548263;0,00552399;0;;;;;;;;;;;;;
14/08/2023;-0,007926362;0,016682555;-0,001412651;0,006845053;;;;;;;;;;;;;
15/08/2023;0,033762887;-0,007501172;-0,00817353;-0,008652658;;;;;;;;;;;;;
16/08/2023;-0,007479432;0;0,004120444;0,001870324;;;;;;;;;;;;;
17/08/2023;0,013564431;0,005668399;0,006944444;-0,008711886;;;;;;;;;;;;;
18/08/2023;-0,011648079;-0,056834194;-0,004075235;-0,035153798;;;;;;;;;;;;;
21/08/2023;-0,019307924;-0,011454183;-0,005508341;0,004554327;;;;;;;;;;;;;
22/08/2023;0,004091025;-0,002015113;-0,002690299;0,002590674;;;;;;;;;;;;;
23/08/2023;0,001782531;-0,019182231;0,010948905;-0,009689922;;;;;;;;;;;;;
24/08/2023;0,004067107;0,025218734;0,016323968;0,009784736;;;;;;;;;;;;;
